UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
102711,11,162,,,162,,2024
102845,1,2157,702,1455,0,All Students,2024
102845,2,2157,702,1455,0,Undergrad,2024
102845,3,2157,702,1455,0,,2024
103501,1,250,0,250,0,All Students,2024
103501,2,250,0,250,0,Undergrad,2024
103501,3,250,0,250,0,,2024
103741,1,203,,,203,All Students,2024
103741,2,203,,,203,Undergrad,2024
103741,3,203,,,203,,2024
103893,1,1080,142,277,661,All Students,2024
103893,2,1080,142,277,661,Undergrad,2024
103893,3,1080,142,277,661,,2024
103909,1,528,0,124,404,All Students,2024
103909,2,528,0,124,404,Undergrad,2024
103909,3,528,0,124,404,,2024
103927,1,517,0,147,370,All Students,2024
103927,2,517,0,147,370,Undergrad,2024
103927,3,517,0,147,370,,2024
103954,1,47,,,47,All Students,2024
103954,2,47,,,47,Undergrad,2024
103954,3,47,,,47,,2024
103963,1,689,0,12,677,All Students,2024
103963,2,689,0,12,677,Undergrad,2024
103963,3,689,0,12,677,,2024
104090,1,739,205,534,0,All Students,2024
104090,2,712,205,507,0,Undergrad,2024
104090,3,712,205,507,0,,2024
104090,12,27,0,27,0,Graduate,2024
104151,1,79818,3837,42409,33572,All Students,2024
104151,2,65450,3384,40316,21750,Undergrad,2024
104151,3,64674,2972,40251,21451,,2024
104151,11,776,412,65,299,,2024
104151,12,14368,453,2093,11822,Graduate,2024
104160,1,8964,2226,2624,4114,All Students,2024
104160,2,8964,2226,2624,4114,Undergrad,2024
104160,3,6374,2048,2337,1989,,2024
104160,11,2590,178,287,2125,,2024
104179,1,56365,12481,23089,20795,All Students,2024
104179,2,44848,8959,21518,14371,Undergrad,2024
104179,3,42537,7690,21486,13361,,2024
104179,11,2311,1269,32,1010,,2024
104179,12,11517,3522,1571,6424,Graduate,2024
104346,1,5053,665,3401,987,All Students,2024
104346,2,5053,665,3401,987,Undergrad,2024
104346,3,4912,646,3323,943,,2024
104346,11,141,19,78,44,,2024
104391,1,76,,,76,All Students,2024
104391,2,76,,,76,Undergrad,2024
104391,3,76,,,76,,2024
104425,1,3905,1197,1078,1630,All Students,2024
104425,2,3905,1197,1078,1630,Undergrad,2024
104425,3,3096,1080,1002,1014,,2024
104425,11,809,117,76,616,,2024
104443,1,104,,,104,All Students,2024
104443,2,104,,,104,Undergrad,2024
104443,3,104,,,104,,2024
104568,1,298,0,298,0,All Students,2024
104568,2,298,0,298,0,Undergrad,2024
104568,3,298,0,298,0,,2024
104577,1,5213,392,878,3943,All Students,2024
104577,2,5213,392,878,3943,Undergrad,2024
104577,3,2643,362,731,1550,,2024
104577,11,2570,30,147,2393,,2024
104586,1,3264,9,353,2902,All Students,2024
104586,2,3229,9,353,2867,Undergrad,2024
104586,3,3218,9,353,2856,,2024
104586,11,11,0,0,11,,2024
104586,12,35,0,0,35,Graduate,2024
104665,1,8,,,8,All Students,2024
104665,12,8,,,8,Graduate,2024
104708,1,13914,3160,4139,6615,All Students,2024
104708,2,13914,3160,4139,6615,Undergrad,2024
104708,3,11975,2788,4052,5135,,2024
104708,11,1939,372,87,1480,,2024
104717,1,113257,89777,13471,10009,All Students,2024
104717,2,75936,53376,13284,9276,Undergrad,2024
104717,3,73371,51086,13278,9007,,2024
104717,11,2565,2290,6,269,,2024
104717,12,37321,36401,187,733,Graduate,2024
105145,1,5553,1685,1166,2702,All Students,2024
105145,2,5553,1685,1166,2702,Undergrad,2024
105145,3,4538,1507,1152,1879,,2024
105145,11,1015,178,14,823,,2024
105154,1,17077,4620,5003,7454,All Students,2024
105154,2,17077,4620,5003,7454,Undergrad,2024
105154,3,14460,3985,4839,5636,,2024
105154,11,2617,635,164,1818,,2024
105206,1,4619,1353,1367,1899,All Students,2024
105206,2,4619,1353,1367,1899,Undergrad,2024
105206,3,3216,1122,1143,951,,2024
105206,11,1403,231,224,948,,2024
105215,1,527,,,527,All Students,2024
105215,2,527,,,527,Undergrad,2024
105215,3,527,,,527,,2024
105297,1,1434,477,802,155,All Students,2024
105297,2,1423,476,799,148,Undergrad,2024
105297,3,1375,455,781,139,,2024
105297,11,48,21,18,9,,2024
105297,12,11,1,3,7,Graduate,2024
105330,1,28467,5237,9552,13678,All Students,2024
105330,2,22990,2715,8906,11369,Undergrad,2024
105330,3,22903,2679,8903,11321,,2024
105330,11,87,36,3,48,,2024
105330,12,5477,2522,646,2309,Graduate,2024
105349,1,3158,1089,601,1468,All Students,2024
105349,2,3158,1089,601,1468,Undergrad,2024
105349,3,1010,486,189,335,,2024
105349,11,2148,603,412,1133,,2024
105428,1,10660,2963,2714,4983,All Students,2024
105428,2,10660,2963,2714,4983,Undergrad,2024
105428,3,8555,2561,2634,3360,,2024
105428,11,2105,402,80,1623,,2024
105525,1,16283,5143,3421,7719,All Students,2024
105525,2,16283,5143,3421,7719,Undergrad,2024
105525,3,14242,4376,3287,6579,,2024
105525,11,2041,767,134,1140,,2024
105534,1,2676,1922,0,754,All Students,2024
105534,2,2567,1813,0,754,Undergrad,2024
105534,3,2567,1813,0,754,,2024
105534,12,109,109,0,0,Graduate,2024
105543,1,562,29,0,533,All Students,2024
105543,2,562,29,0,533,Undergrad,2024
105543,3,562,29,0,533,,2024
105589,1,867,756,0,111,All Students,2024
105589,2,223,112,0,111,Undergrad,2024
105589,3,219,109,0,110,,2024
105589,11,4,3,0,1,,2024
105589,12,644,644,0,0,Graduate,2024
105659,1,1417,0,42,1375,All Students,2024
105659,2,1417,0,42,1375,Undergrad,2024
105659,3,1346,0,42,1304,,2024
105659,11,71,0,0,71,,2024
105668,1,18841,8147,552,10142,All Students,2024
105668,2,18841,8147,552,10142,Undergrad,2024
105668,3,11668,5980,470,5218,,2024
105668,11,7173,2167,82,4924,,2024
105677,1,21,,,21,All Students,2024
105677,2,21,,,21,Undergrad,2024
105677,3,21,,,21,,2024
105747,1,7065,2030,1798,3237,All Students,2024
105747,2,7065,2030,1798,3237,Undergrad,2024
105747,3,5377,1541,1681,2155,,2024
105747,11,1688,489,117,1082,,2024
105792,1,4516,1415,1164,1937,All Students,2024
105792,2,4516,1415,1164,1937,Undergrad,2024
105792,3,3645,1281,1109,1255,,2024
105792,11,871,134,55,682,,2024
105899,1,1421,189,586,646,All Students,2024
105899,2,1381,166,579,636,Undergrad,2024
105899,3,1165,113,576,476,,2024
