UNITID,PopCode,EFTOTLT,Population
186131,24,1407,
186131,25,4302,
186131,31,17,
186131,32,3321,
186131,39,34,
186131,40,4268,
186131,41,90,
186131,42,87,
186131,51,87,
186131,52,3,
186186,1,194,All Students
186186,2,181,Undergrad
186186,3,181,
186186,4,94,
186186,5,87,
186186,12,13,Graduate
186186,19,23,
186186,20,64,
186186,21,194,
186186,22,181,
186186,23,181,
186186,24,94,
186186,25,87,
186186,32,13,
186186,39,23,
186186,40,64,
186201,1,5981,All Students
186201,2,5444,Undergrad
186201,3,4898,
186201,4,1126,
186201,5,3772,
186201,11,546,
186201,12,537,Graduate
186201,19,388,
186201,20,3384,
186201,21,4778,
186201,22,4539,
186201,23,4528,
186201,24,1124,
186201,25,3404,
186201,31,11,
186201,32,239,
186201,39,336,
186201,40,3068,
186201,41,1203,
186201,42,905,
186201,43,370,
186201,44,2,
186201,45,368,
186201,51,535,
186201,52,298,
186201,59,52,
186201,60,316,
186274,1,310,All Students
186274,2,310,Undergrad
186274,3,310,
186274,4,28,
186274,5,282,
186274,20,282,
186274,21,200,
186274,22,200,
186274,23,200,
186274,24,19,
186274,25,181,
186274,40,181,
186274,41,110,
186274,42,110,
186274,43,110,
186274,44,9,
186274,45,101,
186274,60,101,
186283,1,4003,All Students
186283,2,3145,Undergrad
186283,3,3106,
186283,4,720,
186283,5,2386,
186283,11,39,
186283,12,858,Graduate
186283,19,239,
186283,20,2147,
186283,21,3348,
186283,22,2984,
186283,23,2968,
186283,24,719,
186283,25,2249,
186283,31,16,
186283,32,364,
186283,39,217,
186283,40,2032,
186283,41,655,
186283,42,161,
186283,43,138,
186283,44,1,
186283,45,137,
186283,51,23,
186283,52,494,
186283,59,22,
186283,60,115,
186371,1,5675,All Students
186371,2,3857,Undergrad
186371,3,3753,
186371,4,531,
186371,5,3222,
186371,11,104,
186371,12,1818,Graduate
186371,19,566,
186371,20,2656,
186371,21,4194,
186371,22,3261,
186371,23,3260,
186371,24,524,
186371,25,2736,
186371,31,1,
186371,32,933,
186371,39,475,
186371,40,2261,
186371,41,1481,
186371,42,596,
186371,43,493,
186371,44,7,
186371,45,486,
186371,51,103,
186371,52,885,
186371,59,91,
186371,60,395,
186380,1,52269,All Students
186380,2,37985,Undergrad
186380,3,37751,
186380,4,8191,
186380,5,29560,
186380,11,234,
186380,12,14284,Graduate
186380,19,2361,
186380,20,27199,
186380,21,45551,
186380,22,36609,
186380,23,36570,
186380,24,8187,
186380,25,28383,
186380,31,39,
186380,32,8942,
186380,39,2283,
186380,40,26100,
186380,41,6718,
186380,42,1376,
186380,43,1181,
186380,44,4,
186380,45,1177,
186380,51,195,
186380,52,5342,
186380,59,78,
186380,60,1099,
186399,1,11315,All Students
186399,2,7989,Undergrad
186399,3,7709,
186399,4,1857,
186399,5,5852,
186399,11,280,
186399,12,3326,Graduate
186399,19,722,
186399,20,5130,
186399,21,8595,
186399,22,6958,
186399,23,6945,
186399,24,1846,
186399,25,5099,
186399,31,13,
186399,32,1637,
186399,39,635,
186399,40,4464,
186399,41,2720,
186399,42,1031,
186399,43,764,
186399,44,11,
186399,45,753,
186399,51,267,
186399,52,1689,
186399,59,87,
186399,60,666,
186405,1,16,All Students
186405,2,16,Undergrad
186405,3,16,
186405,5,16,
186405,20,16,
186405,21,16,
186405,22,16,
186405,23,16,
186405,25,16,
186405,40,16,
186423,1,66,All Students
186423,2,66,Undergrad
186423,3,66,
186423,5,66,
186423,20,66,
186423,21,66,
186423,22,66,
186423,23,66,
186423,25,66,
186423,40,66,
186432,1,3572,All Students
186432,2,2263,Undergrad
186432,3,2135,
186432,4,535,
186432,5,1600,
186432,11,128,
186432,12,1309,Graduate
186432,19,325,
186432,20,1275,
186432,21,3030,
186432,22,2062,
186432,23,2059,
186432,24,533,
186432,25,1526,
186432,31,3,
186432,32,968,
186432,39,311,
186432,40,1215,
186432,41,542,
186432,42,201,
186432,43,76,
186432,44,2,
186432,45,74,
186432,51,125,
186432,52,341,
186432,59,14,
186432,60,60,
186469,1,1135,All Students
186469,2,1135,Undergrad
186469,3,910,
186469,4,258,
186469,5,652,
186469,11,225,
186469,19,128,
186469,20,524,
186469,21,498,
186469,22,498,
186469,23,478,
186469,24,179,
186469,25,299,
186469,31,20,
186469,39,46,
186469,40,253,
186469,41,637,
186469,42,637,
186469,43,432,
186469,44,79,
186469,45,353,
186469,51,205,
186469,59,82,
186469,60,271,
186584,1,9571,All Students
186584,2,6146,Undergrad
186584,3,6036,
186584,4,1601,
186584,5,4435,
186584,11,110,
186584,12,3425,Graduate
186584,19,171,
186584,20,4264,
186584,21,7697,
186584,22,6003,
186584,23,5908,
186584,24,1600,
186584,25,4308,
186584,31,95,
186584,32,1694,
186584,39,168,
186584,40,4140,
186584,41,1874,
186584,42,143,
186584,43,128,
186584,44,1,
186584,45,127,
186584,51,15,
186584,52,1731,
186584,59,3,
186584,60,124,
186593,1,188,All Students
186593,2,188,Undergrad
186593,3,188,
186593,4,44,
186593,5,144,
186593,20,144,
186593,21,136,
186593,22,136,
186593,23,136,
186593,24,37,
186593,25,99,
186593,40,99,
186593,41,52,
186593,42,52,
186593,43,52,
186593,44,7,
186593,45,45,
186593,60,45,
186618,1,871,All Students
186618,2,560,Undergrad
186618,3,557,
186618,4,117,
186618,5,440,
186618,11,3,
186618,12,311,Graduate
186618,19,47,
186618,20,393,
186618,21,704,
186618,22,516,
186618,23,516,
186618,24,116,
186618,25,400,
186618,32,188,
186618,39,43,
186618,40,357,
186618,41,167,
186618,42,44,
186618,43,41,
186618,44,1,
186618,45,40,
186618,51,3,
186618,52,123,
186618,59,4,
186618,60,36,
186645,1,6762,All Students
186645,2,6762,Undergrad
186645,3,5416,
186645,4,1471,
186645,5,3945,
186645,11,1346,
186645,19,358,
186645,20,3587,
186645,21,2698,
186645,22,2698,
186645,23,2646,
186645,24,1055,
186645,25,1591,
186645,31,52,
186645,39,147,
186645,40,1444,
186645,41,4064,
186645,42,4064,
186645,43,2770,
186645,44,416,
186645,45,2354,
186645,51,1294,
186645,59,211,
186645,60,2143,
186867,1,8469,All Students
186867,2,4236,Undergrad
186867,3,4222,
186867,4,1055,
186867,5,3167,
186867,11,14,
186867,12,4233,Graduate
186867,19,47,
186867,20,3120,
186867,21,6941,
186867,22,4169,
186867,23,4158,
186867,24,1054,
186867,25,3104,
186867,31,11,
186867,32,2772,
186867,39,47,
186867,40,3057,
186867,41,1528,
186867,42,67,
186867,43,64,
186867,44,1,
186867,45,63,
186867,51,3,
186867,52,1461,
186867,60,63,
186876,1,8631,All Students
186876,2,7565,Undergrad
186876,3,7537,
186876,4,1453,
186876,5,6084,
186876,11,28,
186876,12,1066,Graduate
186876,19,736,
186876,20,5348,
186876,21,7706,
186876,22,7266,
186876,23,7251,
186876,24,1451,
186876,25,5800,
186876,31,15,
186876,32,440,
186876,39,711,
186876,40,5089,
186876,41,925,
186876,42,299,
186876,43,286,
186876,44,2,
186876,45,284,
186876,51,13,
186876,52,626,
186876,59,25,
186876,60,259,
186900,1,72,All Students
186900,2,72,Undergrad
186900,3,72,
186900,4,10,
186900,5,62,
186900,19,16,
186900,20,46,
186900,21,72,
186900,22,72,
186900,23,72,
186900,24,10,
186900,25,62,
186900,39,16,
186900,40,46,
187000,1,695,All Students
187000,2,695,Undergrad
187000,3,695,
187000,4,150,
187000,5,545,
187000,20,545,
187000,21,503,
187000,22,503,
187000,23,503,
187000,24,150,
187000,25,353,
187000,40,353,
187000,41,192,
187000,42,192,
187000,43,192,
187000,45,192,
187000,60,192,
187046,1,7544,All Students
187046,2,6775,Undergrad
187046,3,6707,
187046,5,6707,
187046,11,68,
187046,12,769,Graduate
187046,19,1772,
187046,20,4935,
187046,21,178,
187046,22,166,
187046,23,166,
187046,25,166,
187046,32,12,
187046,39,52,
187046,40,114,
187046,41,7366,
187046,42,6609,
187046,43,6541,
187046,45,6541,
187046,51,68,
187046,52,757,
187046,59,1720,
187046,60,4821,
187134,1,8141,All Students
187134,2,7435,Undergrad
187134,3,7105,
187134,4,1563,
187134,5,5542,
187134,11,330,
187134,12,706,Graduate
187134,19,334,
187134,20,5208,
187134,21,7556,
187134,22,7267,
187134,23,6942,
187134,24,1560,
187134,25,5382,
187134,31,325,
187134,32,289,
187134,39,319,
187134,40,5063,
187134,41,585,
187134,42,168,
187134,43,163,
187134,44,3,
187134,45,160,
187134,51,5,
187134,52,417,
187134,59,15,
187134,60,145,
187198,1,8330,All Students
187198,2,8330,Undergrad
187198,3,7939,
187198,4,1815,
187198,5,6124,
187198,11,391,
187198,19,790,
187198,20,5334,
187198,21,3722,
187198,22,3722,
187198,23,3693,
187198,24,1330,
187198,25,2363,
187198,31,29,
187198,39,398,
187198,40,1965,
187198,41,4608,
187198,42,4608,
187198,43,4246,
187198,44,485,
187198,45,3761,
187198,51,362,
187198,59,392,
187198,60,3369,
187444,1,9942,All Students
187444,2,6647,Undergrad
187444,3,6614,
187444,4,1037,
187444,5,5577,
187444,11,33,
187444,12,3295,Graduate
187444,19,929,
187444,20,4648,
187444,21,5988,
187444,22,5239,
187444,23,5236,
187444,24,1030,
187444,25,4206,
187444,31,3,
187444,32,749,
187444,39,687,
187444,40,3519,
187444,41,3954,
187444,42,1408,
187444,43,1378,
187444,44,7,
187444,45,1371,
187444,51,30,
187444,52,2546,
187444,59,242,
187444,60,1129,
187505,1,338,All Students
187505,2,338,Undergrad
187505,3,338,
187505,4,117,
187505,5,221,
187505,20,221,
187505,21,338,
187505,22,338,
187505,23,338,
187505,24,117,
187505,25,221,
187505,40,221,
187532,1,19342,All Students
187532,2,19342,Undergrad
187532,3,15203,
187532,4,3227,
187532,5,11976,
187532,11,4139,
187532,19,1123,
187532,20,10853,
187532,21,4569,
187532,22,4569,
187532,23,4414,
187532,24,1426,
187532,25,2988,
187532,31,155,
187532,39,428,
187532,40,2560,
187532,41,14773,
187532,42,14773,
187532,43,10789,
187532,44,1801,
187532,45,8988,
187532,51,3984,
187532,59,695,
187532,60,8293,
187596,1,1704,All Students
187596,2,1678,Undergrad
187596,3,1124,
187596,4,181,
187596,5,943,
187596,11,554,
187596,12,26,Graduate
187596,19,163,
187596,20,780,
187596,21,705,
187596,22,688,
187596,23,688,
187596,24,145,
187596,25,543,
187596,32,17,
187596,39,90,
187596,40,453,
187596,41,999,
187596,42,990,
187596,43,436,
187596,44,36,
187596,45,400,
187596,51,554,
187596,52,9,
187596,59,73,
187596,60,327,
187620,1,7200,All Students
187620,2,7200,Undergrad
187620,3,5177,
187620,4,1321,
187620,5,3856,
187620,11,2023,
187620,19,198,
187620,20,3658,
187620,21,3065,
187620,22,3065,
187620,23,2881,
187620,24,1067,
187620,25,1814,
187620,31,184,
187620,39,97,
187620,40,1717,
187620,41,4135,
187620,42,4135,
187620,43,2296,
187620,44,254,
187620,45,2042,
187620,51,1839,
187620,59,101,
187620,60,1941,
187639,1,2342,All Students
187639,2,2342,Undergrad
187639,3,1309,
187639,4,317,
187639,5,992,
187639,11,1033,
187639,19,105,
187639,20,887,
187639,21,529,
187639,22,529,
187639,23,416,
187639,24,119,
187639,25,297,
187639,31,113,
187639,39,27,
187639,40,270,
187639,41,1813,
187639,42,1813,
187639,43,893,
187639,44,198,
187639,45,695,
187639,51,920,
187639,59,78,
187639,60,617,
187648,1,5725,All Students
187648,2,4239,Undergrad
187648,3,3357,
187648,4,585,
187648,5,2772,
187648,11,882,
187648,12,1486,Graduate
187648,19,521,
187648,20,2251,
187648,21,3012,
187648,22,2423,
187648,23,2410,
187648,24,568,
187648,25,1842,
187648,31,13,
187648,32,589,
187648,39,356,
187648,40,1486,
187648,41,2713,
187648,42,1816,
187648,43,947,
187648,44,17,
187648,45,930,
187648,51,869,
187648,52,897,
187648,59,165,
187648,60,765,
187666,1,2082,All Students
187666,2,2082,Undergrad
187666,3,1300,
187666,4,404,
187666,5,896,
187666,11,782,
187666,19,72,
187666,20,824,
187666,21,888,
187666,22,888,
187666,23,707,
187666,24,291,
187666,25,416,
187666,31,181,
187666,39,33,
187666,40,383,
187666,41,1194,
187666,42,1194,
187666,43,593,
187666,44,113,
187666,45,480,
187666,51,601,
187666,59,39,
187666,60,441,
187745,1,947,All Students
187745,2,877,Undergrad
187745,3,334,
187745,4,55,
187745,5,279,
187745,11,543,
187745,12,70,Graduate
187745,19,33,
187745,20,246,
187745,21,338,
187745,22,272,
187745,23,272,
187745,24,49,
187745,25,223,
187745,32,66,
187745,39,31,
187745,40,192,
187745,41,609,
187745,42,605,
187745,43,62,
187745,44,6,
187745,45,56,
187745,51,543,
187745,52,4,
187745,59,2,
187745,60,54,
187897,1,2704,All Students
187897,2,1603,Undergrad
187897,3,1451,
187897,4,227,
187897,5,1224,
187897,11,152,
187897,12,1101,Graduate
187897,19,219,
187897,20,1005,
187897,21,1507,
187897,22,934,
187897,23,934,
187897,24,215,
187897,25,719,
187897,32,573,
187897,39,125,
187897,40,594,
187897,41,1197,
187897,42,669,
187897,43,517,
187897,44,12,
187897,45,505,
187897,51,152,
187897,52,528,
187897,59,94,
187897,60,411,
187903,1,2235,All Students
187903,2,2235,Undergrad
187903,3,2175,
187903,4,1240,
187903,5,935,
187903,11,60,
187903,19,69,
187903,20,866,
187903,21,1099,
187903,22,1099,
187903,23,1099,
187903,24,652,
187903,25,447,
187903,39,42,
187903,40,405,
187903,41,1136,
187903,42,1136,
187903,43,1076,
187903,44,588,
187903,45,488,
187903,51,60,
187903,59,27,
187903,60,461,
187912,1,463,All Students
187912,2,463,Undergrad
187912,3,331,
187912,4,195,
187912,5,136,
187912,11,132,
187912,19,11,
187912,20,125,
187912,21,331,
187912,22,331,
187912,23,331,
187912,24,195,
187912,25,136,
187912,39,11,
187912,40,125,
187912,41,132,
187912,42,132,
187912,51,132,
187958,1,1687,All Students
187958,2,1687,Undergrad
187958,3,808,
187958,4,153,
187958,5,655,
187958,11,879,
187958,19,32,
187958,20,623,
187958,21,664,
187958,22,664,
187958,23,436,
187958,24,116,
187958,25,320,
187958,31,228,
187958,39,15,
187958,40,305,
187958,41,1023,
187958,42,1023,
187958,43,372,
187958,44,37,
187958,45,335,
187958,51,651,
187958,59,17,
187958,60,318,
187967,1,1622,All Students
187967,2,1066,Undergrad
187967,3,995,
187967,4,186,
187967,5,809,
187967,11,71,
187967,12,556,Graduate
187967,19,24,
187967,20,785,
187967,21,1228,
187967,22,942,
187967,23,941,
187967,24,185,
187967,25,756,
187967,31,1,
187967,32,286,
187967,39,21,
187967,40,735,
187967,41,394,
187967,42,124,
187967,43,54,
187967,44,1,
187967,45,53,
187967,51,70,
187967,52,270,
187967,59,3,
187967,60,50,
187976,1,349,All Students
187976,2,349,Undergrad
187976,3,218,
187976,4,46,
187976,5,172,
187976,11,131,
187976,19,22,
187976,20,150,
187976,21,101,
187976,22,101,
187976,23,99,
187976,24,33,
187976,25,66,
187976,31,2,
187976,39,12,
187976,40,54,
187976,41,248,
187976,42,248,
187976,43,119,
187976,44,13,
187976,45,106,
187976,51,129,
187976,59,10,
187976,60,96,
187985,1,23124,All Students
187985,2,17450,Undergrad
187985,3,17244,
187985,4,3527,
187985,5,13717,
187985,11,206,
187985,12,5674,Graduate
187985,19,1212,
187985,20,12505,
187985,21,17188,
187985,22,14261,
187985,23,14191,
187985,24,3464,
187985,25,10727,
187985,31,70,
187985,32,2927,
187985,39,851,
187985,40,9876,
187985,41,5936,
187985,42,3189,
187985,43,3053,
187985,44,63,
187985,45,2990,
187985,51,136,
187985,52,2747,
187985,59,361,
187985,60,2629,
187994,1,1152,All Students
187994,2,1152,Undergrad
187994,3,591,
187994,4,152,
187994,5,439,
187994,11,561,
187994,19,27,
187994,20,412,
187994,21,287,
187994,22,287,
187994,23,282,
187994,24,100,
187994,25,182,
187994,31,5,
187994,39,12,
187994,40,170,
187994,41,865,
187994,42,865,
187994,43,309,
187994,44,52,
187994,45,257,
187994,51,556,
187994,59,15,
187994,60,242,
188003,1,1431,All Students
188003,2,1431,Undergrad
188003,3,469,
188003,4,112,
188003,5,357,
188003,11,962,
188003,19,66,
188003,20,291,
188003,21,257,
188003,22,257,
188003,23,201,
188003,24,73,
188003,25,128,
188003,31,56,
188003,39,25,
188003,40,103,
188003,41,1174,
188003,42,1174,
188003,43,268,
188003,44,39,
188003,45,229,
188003,51,906,
188003,59,41,
188003,60,188,
188021,1,754,All Students
188021,2,754,Undergrad
188021,3,356,
188021,4,93,
188021,5,263,
188021,11,398,
188021,19,19,
188021,20,244,
188021,21,208,
188021,22,208,
188021,23,196,
188021,24,72,
188021,25,124,
188021,31,12,
188021,39,12,
188021,40,112,
188021,41,546,
188021,42,546,
188021,43,160,
188021,44,21,
188021,45,139,
188021,51,386,
188021,59,7,
188021,60,132,
188030,1,15408,All Students
188030,2,12507,Undergrad
188030,3,11946,
188030,4,2404,
188030,5,9542,
188030,11,561,
188030,12,2901,Graduate
188030,19,662,
188030,20,8880,
188030,21,11733,
188030,22,10173,
188030,23,10139,
188030,24,2338,
188030,25,7801,
188030,31,34,
188030,32,1560,
188030,39,502,
188030,40,7299,
188030,41,3675,
188030,42,2334,
188030,43,1807,
188030,44,66,
188030,45,1741,
188030,51,527,
188030,52,1341,
188030,59,160,
188030,60,1581,
188049,1,921,All Students
188049,2,921,Undergrad
188049,3,525,
188049,4,164,
188049,5,361,
188049,11,396,
188049,19,6,
188049,20,355,
188049,21,239,
188049,22,239,
188049,23,224,
188049,24,69,
188049,25,155,
188049,31,15,
188049,39,4,
188049,40,151,
188049,41,682,
188049,42,682,
188049,43,301,
188049,44,95,
188049,45,206,
188049,51,381,
188049,59,2,
188049,60,204,
188058,1,1425,All Students
188058,2,1425,Undergrad
188058,3,926,
188058,4,164,
188058,5,762,
188058,11,499,
188058,19,112,
188058,20,650,
188058,21,539,
188058,22,539,
188058,23,531,
188058,24,129,
188058,25,402,
188058,31,8,
188058,39,44,
188058,40,358,
188058,41,886,
188058,42,886,
188058,43,395,
188058,44,35,
188058,45,360,
188058,51,491,
188058,59,68,
188058,60,292,
188100,1,6452,All Students
188100,2,6452,Undergrad
188100,3,4304,
188100,4,905,
188100,5,3399,
188100,11,2148,
188100,19,338,
188100,20,3061,
188100,21,1663,
188100,22,1663,
188100,23,1531,
188100,24,502,
188100,25,1029,
188100,31,132,
188100,39,101,
188100,40,928,
188100,41,4789,
188100,42,4789,
188100,43,2773,
188100,44,403,
188100,45,2370,
188100,51,2016,
188100,59,237,
188100,60,2133,
188137,1,4469,All Students
188137,2,4469,Undergrad
188137,3,3369,
188137,4,354,
188137,5,3015,
188137,11,1100,
188137,19,379,
188137,20,2636,
188137,21,690,
188137,22,690,
188137,23,685,
188137,24,149,
188137,25,536,
188137,31,5,
188137,39,103,
188137,40,433,
188137,41,3779,
188137,42,3779,
188137,43,2684,
188137,44,205,
188137,45,2479,
188137,51,1095,
188137,59,276,
188137,60,2203,
188182,1,1130,All Students
188182,2,346,Undergrad
188182,3,346,
188182,4,89,
188182,5,257,
188182,12,784,Graduate
188182,19,59,
188182,20,198,
188182,21,543,
188182,22,321,
188182,23,321,
188182,24,87,
188182,25,234,
188182,32,222,
188182,39,54,
188182,40,180,
188182,41,587,
188182,42,25,
188182,43,25,
188182,44,2,
188182,45,23,
188182,52,562,
